Search City,Job Title,Company,Location,Job Description,Required Skills,Posted Date,Job URL
Delhi,Dispatch Executive,Eternal Homes,New Delhi(Ghitorni),Responsibilities:* Coordinate dispatch with logistics team* Ensure timely delivery of p...,Dispatch | Inventory | Dispatch Planning | Logistics | Planning,3 days ago,https://www.naukri.com/job-listings-dispatch-executive-eternal-homes-new-delhi-2-to-4-years-220626001605
Delhi,Pre Dispatch Inspection Executive (PDI Executive),Mistnokriwala,Faridabad,Diploma / BTech/Graduate in relevant field . Required Skills: . Good knowledge of quali...,Product quality | Basic | Pre dispatch inspection | Quality standards | Compliance | Quality inspection | Senior Executive | Packaging,1 week ago,https://www.naukri.com/job-listings-pre-dispatch-inspection-executive-pdi-executive-mistnokriwala-faridabad-3-to-8-years-110626501073
Delhi,Dispatch Executive,HDI OUTSOURCING SERVICES PVT LTD,Faridabad(Sector 57),"HDI Outsourcing Services Pvt Ltd Dispatch Executive Location - Sec-57, Faridabad",Dispatch | E Way Bill | Order Processing | Inventory | Dispatch Planning | Processing | Order fulfillment | E,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-hdi-outsourcing-services-faridabad-2-to-3-years-300526007955
Delhi,Dispatch Executive,Indygreen,New Delhi(Chander Vihar),Responsibilities: * Coordinate dispatch with warehouse & stores* Ensure timely delivery...,Supply Chain Management | Export Logistics | Dispatch Planning | Logistics | Dispatch | Order Processing | Processing | Process,5 days ago,https://www.naukri.com/job-listings-dispatch-executive-indygreen-new-delhi-2-to-3-years-200626015144
Delhi,Dispatch Executive,Nirvaan Enterprises,Delhi / NCR,Preferred Male Candidate onlyRequired Qualifications . Bachelors degree or diploma in L...,Dispatch | E Way Bill | Order Processing | Inventory | Logistics | Dispatch Planning | Processing | Order fulfillment,1 week ago,https://www.naukri.com/job-listings-dispatch-executive-nirvaan-enterprises-delhi-ncr-2-to-5-years-160626027118
Chennai,Fleet Supervisor,Acko,Chennai,Strong problem-solving skills and attention to detail. Disclaimer: This job description...,fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-chennai-1-to-3-years-241225503689
Chennai,Transport Coordinator,Sitics Logistic Solutions,"Chennai, Tiruchirapalli, Bengaluru",We are looking for Transport Coordinator with 3 to 5 yrs experience in Vehicle Placemen...,Transportation | Route Planning | Vehicle Placement | Vehicle | Placement | Planning | Route3,3 days ago,https://www.naukri.com/job-listings-transport-coordinator-sitics-logistic-solutions-chennai-tiruchirapalli-bengaluru-3-to-5-years-220626007871
Chennai,Assistant Manager- Operations -International Voice Process,Annova Solutions Pvt Ltd,Chennai,Job Opening Name: Assistant Manager- Operations -International Voice Process . Job Type...,BPO | Team management | ISO | Process improvement | Budgeting | ITES | Stakeholder management | Operations,1 day ago,https://www.naukri.com/job-listings-assistant-manager-operations-international-voice-process-annova-solutions-pvt-ltd-chennai-0-to-5-years-240626505386
Chennai,Process Associate - Insurance - Madurai,Genpact,"Chennai, Madurai, Coimbatore",The positions operate in a dynamic environment and are well suited to those with strong...,insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Process,6 days ago,https://www.naukri.com/job-listings-process-associate-insurance-madurai-genpact-madurai-chennai-coimbatore-0-to-2-years-190626018627
Chennai,General Manager / Hotel Operations / Hospitality Management / Hotel GM,India's Leading Hotel Chain,"Chennai, Patna, Pune, Bengaluru, Delhi / NCR, Mumbai (All Areas)","General Manager required for reputed hotel operations. Manage hospitality services, gue...",Hotel Management | Hotel GM | Hospitality Management | Hotel Administration | Food & Beverage | Revenue Management | Team Leadership | Hospitality Services,3 days ago,https://www.naukri.com/job-listings-general-manager-hotel-operations-hospitality-management-hotel-gm-freelancer-patna-pune-chennai-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-220626017045
Chennai,Medical Store Incharge,M/S Sri Sudharsanam Medical Services,Chennai,Responsibilities:* Maintain inventory levels* Ensure compliance with safety protocols* ...,English | Computer Knowledge | Store Supervision | Tamil | Supervision | Stores | Medical | Computer,1 day ago,https://www.naukri.com/job-listings-medical-store-incharge-m-s-sri-sudharsanam-medical-services-chennai-3-to-5-years-240626934772
Chennai,Courier Operations Staff,Franch Express Courier,Chennai,FRANCH EXPRESS COURIER PVT LTD is looking for Courier Operations Staff to join our dyna...,Logistics | Operations | Courier,3+ weeks ago,https://www.naukri.com/job-listings-courier-operations-staff-franch-express-courier-pvt-ltd-chennai-1-to-5-years-180425501823
Chennai,Senior Operations Manager,Mrmed,Chennai,MrMed is looking for Senior Operations Manager to join our dynamic team and embark on a...,six sigma | operations management | team management | performance monitoring | kpi | operational risk | process optimization | process improvement,3+ weeks ago,https://www.naukri.com/job-listings-senior-operations-manager-mrmed-chennai-0-to-1-years-160725500038
